"id","ingredient"
66102450266,"1/2 cup butter or margarine"
66102450266,"2 teaspoons milk"
66102450266,"1/2 cup brown sugar"
66102450266,"8 fresh peaches - peeled, pitted and sliced into thin wedges"
66102450266,"1/4 cup white sugar"
66102450266,"1/4 cup brown sugar"
66102450266,"1/4 teaspoon ground cinnamon"
66102450266,"1/8 teaspoon ground nutmeg"
66102450266,"1 teaspoon fresh lemon juice"
66102450266,"2 teaspoons cornstarch"
66102450266,"1 cup all-purpose flour"
66102450266,"1/4 cup white sugar"
66102450266,"1/4 cup brown sugar"
66102450266,"1 teaspoon baking powder"
66102450266,"1/2 teaspoon salt"
66102450266,"6 tablespoons unsalted butter, chilled and cut into small pieces"
66102450266,"1/4 cup boiling water"
66102450266,"MIX TOGETHER:"
66102450266,"3 tablespoons white sugar"
66102450266,"1 teaspoon ground cinnamon"
66102450266,"1 cup peanut butter"
66102450266,"1/2 cup butter, softened"
66102450266,"1/2 cup white sugar"
66102450266,"1/2 cup packed brown sugar"
66102450266,"1 egg"
66102450266,"3 tablespoons milk"
66102450266,"1 teaspoon vanilla extract"
66102450266,"1 1/4 cups all-purpose flour"
66102450266,"3/4 teaspoon baking powder"
66102450266,"1/4 teaspoon salt"
66102450266,"2 1/2 cups all-purpose flour"
66102450266,"1 teaspoon baking powder"
66102450266,"1 teaspoon baking soda"
66102450266,"2 teaspoons ground cinnamon"
66102450266,"1/2 teaspoon ground nutmeg"
66102450266,"1/2 teaspoon ground cloves"
66102450266,"1/2 teaspoon salt"
66102450266,"1/2 cup butter, softened"
66102450266,"1 1/2 cups white sugar"
66102450266,"1 cup canned pumpkin puree"
66102450266,"1 egg"
66102450266,"1 teaspoon vanilla extract"
66102450266,"2 cups confectioners' sugar"
66102450266,"3 tablespoons milk"
66102450266,"1 tablespoon melted butter"
66102450266,"1 teaspoon vanilla extract"
66102450266,"1/2 cup butter, divided"
66102450266,"1 (16 ounce) loaf day-old French bread, cut into 1-inch cubes"
66102450266,"1 cup chopped walnuts"
66102450266,"4 eggs"
66102450266,"1 cup heavy cream"
66102450266,"1 (14 ounce) can sweetened condensed milk"
66102450266,"1 (14 ounce) can coconut milk"
66102450266,"1 cup brown sugar"
66102450266,"4 teaspoons vanilla extract"
66102450266,"1/2 teaspoon ground cinnamon"
66102450266,"1/4 teaspoon ground nutmeg"
66102450266,"1/4 teaspoon ground allspice"
66102450266,"1 pinch salt"
66102450266,"4 very ripe bananas, mashed"
66102450266,"2 3/4 cups confectioners' sugar"
66102450266,"6 tablespoons unsweetened cocoa powder"
66102450266,"6 tablespoons butter"
66102450266,"5 tablespoons evaporated milk"
66102450266,"1 teaspoon vanilla extract"
66102450266,"3/4 cup uncooked white rice"
66102450266,"2 cups milk, divided"
66102450266,"1/3 cup white sugar"
66102450266,"1/4 teaspoon salt"
66102450266,"1 egg, beaten"
66102450266,"2/3 cup golden raisins"
66102450266,"1 tablespoon butter"
66102450266,"1/2 teaspoon vanilla extract"
66102450266,"2 cups white sugar"
66102450266,"1 3/4 cups all-purpose flour"
66102450266,"3/4 cup unsweetened cocoa powder"
66102450266,"1 1/2 teaspoons baking soda"
66102450266,"1 1/2 teaspoons baking powder"
66102450266,"1 teaspoon salt"
66102450266,"2 eggs"
66102450266,"1 cup milk"
66102450266,"1/2 cup vegetable oil"
66102450266,"2 teaspoons vanilla extract"
66102450266,"1 cup boiling water"
66102450266,"3/4 cup butter"
66102450266,"1 1/2 cups unsweetened cocoa powder"
66102450266,"5 1/3 cups confectioners' sugar"
66102450266,"2/3 cup milk"
66102450266,"1 teaspoon vanilla extract"
66102450266,"1/2 cup butter, softened"
